,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,284.9105917596286,256.54938031231586,1220.0680862973034,419.4428170659918,497.61047973005213,2470.3602247592585,4589.216769651709,4351.719993727009,4127.838566520119,2947.3001200216872,1334.5182313766368,4366.4204617194955,1807.3160756651312,4863.683393612599,1792.8450745293042,3522.728582422806,2056.810295645244,640.335689615096,3911.8648728522176,2679.4775128860892,1409.0375044705736,3871.9566587683084,3744.9245806795047,1607.0696977182447
B,2431.654662250944,3969.192050792145,2690.4752828478404,1529.81083687875,3116.2448060861184,4801.9600355533385,4122.878595392513,2663.817849857329,3195.3442659953785,1701.575535975968,3796.09023880763,4097.395921022824,2968.265620052946,3433.930394780987,3655.33257123873,329.38570123330055,2257.066529431156,480.77362391457245,2738.162744617512,2137.8303652607074,4297.023337922708,2950.445157625509,767.8678800708144,2227.465804216674
C,3246.065582024838,2071.1391947128286,1109.522991049118,4123.511787247366,3586.9609117381087,4912.285650144412,1292.3443340834435,3726.1285758271515,1078.570047977887,949.8217873634127,751.712481707981,669.0816627044504,375.1805026094054,2150.0443928845525,2990.35888794638,884.8031378050985,4497.641538600511,4672.89111376859,525.8458548893057,3541.956355866768,2735.504319727319,837.7331655604007,4174.27059159853,4603.739607935982
D,215.3287094787438,809.6126431041496,256.6137124917666,613.8694347950449,2568.1305536472887,1772.792563254581,2928.7495585730053,235.84861790816007,2016.7577489557677,3368.756507537843,2400.2317937867147,3088.971935179655,4391.527620689593,3053.684907496249,805.7839615608166,3626.507535062779,397.85960496600825,2842.536082332396,3566.204859079865,2101.054316380997,3153.4197919496514,3695.8087212095174,2207.5803567810312,1528.589084473973
E,669.1629340741865,3092.139117374532,821.9969637758219,2185.710722628994,3185.2894620193283,3345.142518275695,3283.940069005073,1871.6816180740236,573.1568293348664,1319.311667233713,1093.011864775063,2354.497675475764,1245.0185121463487,4596.665453291335,4366.872346744164,2148.528676755016,1553.741055724643,2520.131534281203,972.7566646144185,1580.7708645793602,1257.6486631608118,247.82239959060712,3597.0548306655082,4182.78298091526
F,4097.568962333755,3358.7309193353003,4471.852102161726,4339.860382811208,796.8401992340032,3114.6472870792377,3459.12765552541,1510.2189887788543,1087.0083317623075,1964.271519135316,4766.527248611247,2670.3423783592057,2078.1551566001685,4449.062678193325,3800.1609904614847,531.412827118355,203.85041349701464,2362.47154872527,1922.1674685988335,3566.9708854387695,1288.5957798250452,1702.3782819292817,1838.684262132809,2232.675015128176
G,2000.989248145823,706.8866106805691,2903.746930393701,4641.489543739047,364.253912141631,2410.8563787705984,4810.635583583027,4436.778160470295,259.1808395714342,463.3075116860183,145.76470698980853,3739.8561106234447,2768.7344970011163,3335.9922511256527,4144.189335340714,2938.2942808538583,1294.046400475348,1905.7028306442658,2345.5910735477196,2521.4776442015304,2826.168728085969,3796.2282627283766,4983.13961729357,1411.9088507290764
H,2275.2914283261857,2079.796728018032,3375.536824882287,2182.129521998361,4251.757727858443,201.5872313476231,2605.574657133342,950.7095131605495,193.3859534015494,1213.049469055631,1535.8811581417965,2241.557964944915,370.87384208524065,3484.5932365665026,3904.1171167887383,4047.4952174177643,270.99748549777746,3794.279715468937,1577.4372818967333,4842.147441247302,4536.566435967664,3352.6014706913747,3019.937344700186,845.9267900398313
I,3926.5029219076755,883.585976685334,3431.014800734173,3752.1448740692,4432.299186728205,988.738830872468,4589.899615858704,2056.0618393886507,2913.2544913785036,3667.1765092136097,4943.970851888025,2138.915804369236,2956.6977196671105,783.3701198996603,4294.262442579371,2123.5566921603454,3113.730973426147,2308.767447088829,3540.190369687724,125.94388853298378,3399.107796344891,1160.1320512249574,1931.8995471028195,2049.722247223218
J,2347.168335046194,1671.5419966509867,1817.0231714246115,3268.5892276939903,1144.594931887416,690.0740460668763,2338.854296104523,2651.601070799149,2310.545456945921,1589.4157731969763,3947.0347277859496,1104.498345649497,1329.0732879454724,2778.9028995373606,1844.025651091475,747.5792774289446,148.52582959106365,4748.413263989649,4467.05165402756,121.76436347877673,1389.6607935556574,1622.778260051809,4337.052745921717,4597.913105858397
