	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	1648.231393495516	799.3344070621367	632.6337202973909	3965.801006445491	955.8623544041343	4001.4687393147897	2095.3494362922497	3609.4527703667973	2758.7068974247213	239.3915074932179	1730.3881586821337	784.2792908034284	2673.227376390517	4722.615238587996	1149.6049411436315	848.7188627777201	2533.1553730126457	1615.8753432536612	4676.238500329697	2144.3532146382213	4464.814358335318	1762.6300324623119	3481.999174707052	870.631979901667
B	1634.218766402189	3089.102502640331	2909.268320443609	1550.4706190843199	1098.167975326777	1768.773432599437	4460.615031246877	4700.644124306476	763.5011634314043	3161.9415715953874	1969.7621268536411	1126.0281342109347	1590.6320129049682	4589.367527147014	1099.5951590962882	4503.7526767063655	2662.3163241725842	2005.8499557486655	4214.068782253548	3175.018932100876	3871.8743250586144	4420.157884552375	2468.0303368304676	3535.7415937131095
C	176.2791465960283	3380.3601737090576	3510.124159620354	1270.9325059584035	694.6707067276237	2507.5837665146573	368.67822836892344	4611.393116608042	3394.0577841440804	4125.147153417702	659.8080203466526	3160.6078470899047	4147.851510264079	2084.88292028501	805.7885012582875	2706.4744036040383	3254.2125310896067	4724.309068745903	1218.0328431294752	4342.080976026396	3819.621409857779	4529.672604617811	1060.957057509307	3846.653335277929
D	2891.859613854065	4268.37274594544	202.94788495010792	3574.9477557505297	2953.79475430129	4165.627500361903	1464.9782388223002	2389.822393382019	355.9085269468467	4440.899249541046	626.0272469849627	1340.9865935145272	2182.5013450303895	647.1492647404447	1065.2590232938528	1315.6624762603556	3612.3941488401474	4110.2606123578225	1945.233930784288	4913.968523887567	1426.2054556522883	3230.0995296397955	1318.9747802856716	4324.5002515688
E	1869.0845175047411	966.8090088296042	4013.3150519242467	102.53336129963499	3744.7197630187507	3134.5957504729245	207.66589615483377	3722.823501239075	4105.0008848342495	1339.732314753027	4706.729276640421	2466.868355015112	4216.826203637243	2593.6076127386254	764.0172955727674	3978.626886051839	4257.630092827085	1960.3230924232241	2391.124967990304	852.5503559613406	1024.4802657140585	4413.827252400861	4418.9558677693085	1430.9671723114482
F	1845.1635114858932	2362.845614016204	608.3219635538967	4288.450327675743	4383.03385628783	3537.483585227034	2674.5357007192047	338.4453598127954	2473.170077186877	1290.4795118743025	666.1153846361185	847.2420876648284	1113.62640594892	874.8396450127589	1127.8045327502496	4112.534662607847	1045.4787642488477	286.60306036572126	1575.3496496204616	3147.84097961316	4727.093150320671	1773.6317253636587	3447.8219475519604	3681.0462832051317
G	962.5951977012325	2565.867192913271	1872.6097847448934	1160.1356924754648	3736.9574556384905	447.5956178472533	4544.863837013964	3285.3090150088415	769.0454685833137	4180.574086284756	1445.3865146040182	4314.5571237080385	4801.6118949205265	4507.852943813565	1535.4228624648308	530.1527155024507	2791.505068867844	1034.261646870827	4163.909214193172	1177.7985316814832	1306.705807255461	3418.6115095503205	4437.750301519441	642.809188757682
H	3675.282371045185	2733.12673817912	2384.243890288463	3882.9249476812	4352.558360673467	2271.1613515172967	277.4497518653092	1537.632631975769	2356.1732964459366	3556.1051113797466	516.5965262775792	1034.3586706498863	4753.30327274934	258.9973029561471	1754.405146099578	4798.13177670374	3635.313472047691	490.1265656705793	1380.4307699647775	1344.1862447542946	3035.5186217801424	4884.358458800628	540.381335689943	3584.169034383028
I	1414.9484608364655	320.7564259602451	4207.939151016944	1046.6268252715686	1879.8959148264178	1393.049458553312	128.14107734871052	2636.082248611955	409.83100702841983	3118.8311281408437	1903.9319285509978	4090.4935067891215	1163.9017612320665	3338.3316614983587	3262.684546911279	2152.1129396784063	2695.34297222037	3415.367203692724	2302.0418021603236	1046.049569497421	913.1835173645154	1445.174862818353	1615.81997423876	1131.174992414608
J	4803.581408448708	4653.291167611401	4329.633737146951	427.87237247773777	3799.040384305036	1214.0093399864686	896.7847850584001	101.1797044288018	1885.1031512294057	1833.3484895924	4057.721473801003	255.74462517612326	4176.967896831988	4401.769608854613	3499.8944799927267	1250.060231518348	3388.5189696977895	1644.9700356827125	1632.0290998716987	3509.3972431731954	2531.0831104405625	4418.689119461126	4315.558346574506	2065.070209995423
